t 37700 289003
v 447 1 54
v 448 3 53
v 449 4 13
v 450 4 92
v 451 0 5
v 452 1 3
v 453 4 126
v 454 0 73
v 455 4 529
v 456 4 14
v 457 2 146
v 458 1 286
v 459 0 32
v 460 1 7
v 461 4 27
v 462 1 27
v 463 0 138
v 464 3 22
v 465 1 34
v 466 1 7
v 467 2 9
v 468 3 4
v 469 1 225
v 470 3 284
v 471 1 61
v 472 2 1016
v 473 2 17
v 474 1 6
v 475 0 68
v 476 4 23
v 477 2 72
v 478 0 32
v 479 4 34
v 480 3 34
v 481 0 220
v 482 3 81
v 483 0 21
v 484 0 18
v 485 3 51
v 486 0 315
v 487 2 33
v 488 1 2
v 489 2 46
v 490 1 47
v 491 4 13
v 492 2 31
v 493 4 441
v 494 3 29
v 495 0 62
v 496 1 6
v 497 0 16
v 498 4 388
v 499 1 11
v 500 1 80
v 501 1 34
v 502 3 9
v 503 4 41
v 504 3 162
v 505 4 43
v 506 0 6
v 507 2 57
v 508 0 33
v 509 2 99
v 510 0 26
v 511 2 108
v 512 1 8
v 513 3 79
v 514 2 11
v 515 0 128
v 516 4 57
v 517 2 255
v 518 4 44
v 519 1 12
v 520 2 989
v 521 3 297
v 522 2 14
v 523 4 8
v 524 2 27
v 525 2 577
v 526 4 7
v 527 1 27
v 528 2 18
v 529 1 45
v 530 4 110
v 531 2 85
v 532 3 51
v 533 4 18
v 534 4 266
v 535 2 59
v 536 2 8
v 537 3 6
v 538 0 30
v 539 3 101
v 540 3 49
v 541 0 56
v 542 0 6
v 543 1 34
v 544 3 119
v 545 2 24
v 546 4 5
v 547 1 4
v 548 1 526
v 549 3 317
v 550 4 7
v 551 4 30
v 552 3 47
v 553 0 132
v 554 3 66
v 555 2 73
v 556 0 64
v 557 3 238
v 558 1 55
v 559 4 126
v 560 0 2
v 561 3 17
v 562 1 26
v 563 1 3
v 564 2 65
v 565 3 5
v 566 1 8
v 567 4 19
v 568 2 22
v 569 2 113
v 570 0 134
v 571 3 167
v 572 3 197
v 573 3 49
v 574 4 13
v 575 4 16
v 576 1 6
v 577 0 1267
v 578 1 30
v 579 1 60
v 580 1 365
v 581 0 46
v 582 1 53
v 583 2 25
v 584 3 56
v 585 1 23
v 586 1 6
v 587 4 571
v 588 2 21
v 589 2 4
v 590 0 2
v 591 1 23
v 592 0 178
v 593 3 30
v 594 3 40
v 595 2 58
v 596 4 151
v 597 4 3
v 598 1 6
v 599 4 9
v 600 2 209
v 601 1 8
v 602 3 2
v 603 3 8
v 604 1 3
v 605 2 1
v 606 2 3
v 607 2 5
v 608 1 155
v 609 2 4
v 610 0 20
v 611 2 164
v 612 2 87
v 613 1 299
v 614 2 13
v 615 3 5
v 616 0 30
v 617 3 111
v 618 4 36
v 619 1 33
v 620 1 12
v 621 2 136
v 622 4 84
v 623 1 17
v 624 1 320
v 625 0 26
v 626 0 32
v 627 0 58
v 628 0 104
v 629 2 95
v 630 4 42
v 631 1 75
v 632 0 25
v 633 1 16
v 634 2 14
v 635 0 193
v 636 2 8
v 637 1 21
v 638 3 14
v 639 1 17
v 640 0 141
v 641 3 120
v 642 0 39
v 643 4 45
v 644 3 11
v 645 0 1
v 646 3 25
v 647 4 9
v 648 0 55
v 649 3 15
v 650 2 29
v 651 1 21
v 652 4 69
v 653 0 66
v 654 0 47
v 655 4 19
v 656 1 55
v 657 4 86
v 658 3 34
v 659 3 15
v 660 1 21
v 661 3 44
v 662 4 1
v 663 3 186
v 664 3 5
v 665 4 158
v 666 4 21
v 667 4 364
v 668 2 15
v 669 2 39
v 670 2 16
v 671 0 165
v 672 4 13
v 673 0 31
v 674 0 18
v 675 3 21
v 676 4 24
v 677 0 5
v 678 3 52
v 679 4 187
v 680 4 31
v 681 2 72
v 682 3 9
v 683 2 34
v 684 0 49
v 685 0 5
v 686 3 43
v 687 3 49
v 688 3 8
v 689 2 12
v 690 2 28
v 691 1 5
v 692 1 104
v 693 0 28
v 694 3 26
v 695 3 18
v 696 1 8
v 697 4 61
v 698 2 54
v 699 2 26
v 700 2 171
v 701 1 54
v 702 3 115
v 703 1 5
v 704 2 57
v 705 4 14
v 706 2 5
v 707 1 220
v 708 4 4
v 709 2 112
v 710 1 38
v 711 1 239
v 712 0 23
v 713 0 40
v 714 4 45
v 715 3 17
v 716 2 75
v 717 3 79
v 718 4 2
v 719 4 65
v 720 3 239
v 721 4 10
v 722 0 14
v 723 4 92
v 724 1 22
v 725 4 23
v 726 3 21
v 727 2 61
v 728 1 116
v 729 0 400
v 730 0 7
v 731 3 351
v 732 0 29
v 733 4 253
v 734 3 38
v 735 2 3
v 736 3 12
v 737 1 8
v 738 4 2
v 739 2 90
v 740 4 5
v 741 2 5
v 742 4 2
v 743 0 5
v 744 0 2
v 745 0 2
v 746 0 60
v 747 3 5
v 748 4 6
v 749 4 5
v 750 1 6
v 751 3 10
v 752 3 31
v 753 3 8
v 754 4 46
v 755 2 20
v 756 0 39
v 757 3 20
v 758 1 36
v 759 2 46
v 760 0 20
v 761 3 16
v 762 2 17
v 763 3 19
v 764 4 19
v 765 4 90
v 766 4 17
v 767 0 70
v 768 0 25
v 769 0 86
v 770 3 61
v 771 4 70
v 772 1 35
v 773 1 7
v 774 2 167
v 775 4 4
v 776 2 24
v 777 3 10
v 778 1 38
v 779 0 42
v 780 4 2
v 781 4 748
v 782 2 389
v 783 4 1
v 784 3 4
v 785 0 1
v 786 0 3
v 787 4 3
v 788 0 117
v 789 0 4
v 790 4 1
v 791 2 37
v 792 4 7
v 793 4 3
v 794 1 30
v 795 0 8
v 796 1 15
v 797 3 33
v 798 3 10
v 799 4 1
v 800 1 104
v 801 4 1
v 802 0 2
v 803 2 21
v 804 4 607
v 805 3 168
v 806 2 258
v 807 4 9
v 808 4 249
v 809 3 249
v 810 3 356
v 811 3 46
v 812 2 91
v 813 1 104
v 814 0 352
v 815 0 1
v 816 1 29
v 817 1 1
v 818 1 20
v 819 3 1
v 820 3 1
v 821 1 63
v 822 1 3
v 823 4 52
v 824 0 4
v 825 3 41
v 826 3 128
v 827 3 37
v 828 3 27
v 829 4 29
v 830 3 155
v 831 2 2
v 832 3 69
v 833 1 5
v 834 0 25
v 835 3 27
v 836 2 218
v 837 2 303
v 838 4 118
v 839 4 130
v 840 0 26
v 841 2 39
v 842 4 57
v 843 4 345
v 844 4 32
v 845 0 19
v 846 4 4
v 847 4 54
v 848 3 38
v 849 0 65
v 850 0 1
v 851 3 6
v 852 3 3
v 853 3 28
v 854 3 49
v 855 0 265
v 856 4 6
v 857 3 18
v 858 3 20
v 859 0 37
v 860 4 15
v 861 0 35
v 862 2 3
v 863 1 2
v 864 0 25
v 865 2 121
v 866 1 6
v 867 3 30
v 868 3 8
v 869 4 10
v 870 4 3
v 871 0 207
v 872 0 18
v 873 1 6
v 874 2 144
v 875 1 20
v 876 3 16
v 877 0 193
v 878 3 327
v 879 4 13
v 880 0 91
v 881 2 7
v 882 2 13
v 883 1 6
v 884 0 174
v 885 1 75
v 886 0 13
v 887 4 44
v 888 2 9
v 889 3 25
v 890 0 162
v 891 1 34
v 892 2 665
v 893 4 117
v 894 4 1
v 895 1 16
v 896 2 1
v 897 4 24
v 898 0 2
v 899 0 6
v 900 4 12
v 901 4 7
v 902 0 323
v 903 0 13
v 904 1 7
v 905 1 2
v 906 2 31
v 907 3 2
v 908 4 13
v 909 1 5
v 910 1 340
v 911 3 236
v 912 3 73
v 913 1 2
v 914 0 33
v 915 4 24
v 916 2 42
v 917 2 90
v 918 4 31
v 919 2 100
v 920 3 20
v 921 4 18
v 922 3 5
v 923 2 5
v 924 3 9
v 925 3 304
v 926 3 65
v 927 1 6
v 928 3 12
v 929 4 73
v 930 2 59
v 931 4 39
v 932 3 5
v 933 2 5
v 934 4 41
v 935 1 36
v 936 3 6
v 937 4 5
v 938 4 2
v 939 1 8
v 940 1 3
v 941 1 4
v 942 2 14
v 943 1 2
v 944 1 71
v 945 1 14
v 946 2 55
v 947 3 16
v 948 3 93
v 949 0 15
v 950 2 42
v 951 0 64
v 952 4 69
v 953 0 26
v 954 1 33
v 955 2 3
v 956 1 17
v 957 3 114
v 958 0 10
v 959 2 208
v 960 3 56
v 961 4 501
v 962 2 41
v 963 4 9
v 964 1 13
v 965 0 39
v 966 3 31
v 967 2 82
v 968 2 48
v 969 1 4
v 970 3 57
v 971 1 37
v 972 0 36
v 973 1 72
v 974 2 9
v 975 2 178
v 976 0 4
v 977 2 45
v 978 4 14
v 979 3 42
v 980 4 8
v 981 1 12
v 982 4 24
v 983 0 3
v 984 0 127
v 985 3 1
v 986 3 5
v 987 0 36
v 988 0 23
v 989 3 6
v 990 4 6
v 991 4 3
v 992 2 107
v 993 2 60
v 994 4 76
v 995 0 17
v 996 1 1
v 997 1 154
v 998 1 13
v 999 0 93
v 1000 4 76
v 1001 2 267
v 1002 0 4
v 1003 0 80
v 1004 1 3
v 1005 2 8
v 1006 0 9
v 1007 4 26
v 1008 2 154
v 1009 3 11
v 1010 3 5
v 1011 1 26
v 1012 0 1
v 1013 2 1
v 1014 4 32
v 1015 1 9
v 1016 2 57
v 1017 2 54
v 1018 3 8
v 1019 2 23
v 1020 0 32
v 1021 1 47
v 1022 3 9
v 1023 4 6
v 1024 4 99
v 1025 0 65
v 1026 3 11
v 1027 1 226
v 1028 1 8
v 1029 1 6
v 1030 1 16
v 1031 3 33
v 1032 3 68
v 1033 0 110
v 1034 3 62
v 1035 4 51
v 1036 4 19
v 1037 4 12
v 1038 0 34
v 1039 2 30
v 1040 4 15
v 1041 1 20
v 1042 1 71
v 1043 3 113
v 1044 4 52
v 1045 0 13
v 1046 4 115
v 1047 3 215
v 1048 0 48
v 1049 3 30
v 1050 2 9
v 1051 0 35
v 1052 1 1
v 1053 3 2
v 1054 4 10
v 1055 2 3
v 1056 1 87
v 1057 4 13
v 1058 0 46
v 1059 2 47
v 1060 4 25
v 1061 1 20
v 1062 4 50
v 1063 1 2
v 1064 2 37
v 1065 3 77
v 1066 4 27
v 1067 2 11
v 1068 4 7
v 1069 4 83
v 1070 1 57
v 1071 2 35
v 1072 4 21
v 1073 3 2
v 1074 3 26
v 1075 4 22
v 1076 0 7
v 1077 1 10
v 1078 0 47
v 1079 2 116
v 1080 3 7
v 1081 2 37
v 1082 2 206
v 1083 2 134
v 1084 4 18
v 1085 4 9
v 1086 1 23
v 1087 3 32
v 1088 0 42
v 1089 4 40
v 1090 2 22
v 1091 3 6
v 1092 2 21
v 1093 0 18
v 1094 2 3
v 1095 1 2
v 1096 4 76
v 1097 4 66
v 1098 0 47
v 1099 0 15
v 1100 2 50
v 1101 1 2
v 1102 4 77
v 1103 0 18
v 1104 3 3
v 1105 0 30
v 1106 1 16
v 1107 1 7
v 1108 3 13
v 1109 2 25
v 1110 1 10
v 1111 4 7
v 1112 0 2
v 1113 3 66
v 1114 1 91
v 1115 3 2
v 1116 0 9
v 1117 2 11
v 1118 4 26
v 1119 1 14
v 1120 2 59
v 1121 0 5
v 1122 3 10
v 1123 2 6
v 1124 1 22
v 1125 4 23
v 1126 1 8
v 1127 0 25
v 1128 1 5
v 1129 2 7
v 1130 1 20
v 1131 1 31
v 1132 1 13
v 1133 3 11
v 1134 1 100
v 1135 1 19
v 1136 0 4
v 1137 0 17
v 1138 3 187
v 1139 1 94
v 1140 3 9
v 1141 4 165
v 1142 3 76
v 1143 2 5
v 1144 4 176
v 1145 3 26
v 1146 3 25
v 1147 0 2
v 1148 3 4
v 1149 0 6
v 1150 2 29
v 1151 3 47
v 1152 2 11
v 1153 4 6
v 1154 3 142
v 1155 3 8
v 1156 0 19
v 1157 2 72
v 1158 2 2
v 1159 1 241
v 1160 4 46
v 1161 0 1
v 1162 0 5
v 1163 4 7
v 1164 2 7
v 1165 3 7
v 1166 3 3
v 1167 1 35
v 1168 1 23
v 1169 4 2
v 1170 0 10
v 1171 4 347
v 1172 1 28
v 1173 3 6
v 1174 0 4
v 1175 4 19
v 1176 3 14
v 1177 1 7
v 1178 0 2
v 1179 0 7
v 1180 0 53
v 1181 0 193
v 1182 2 47
v 1183 2 5
v 1184 1 127
v 1185 1 24
v 1186 4 94
v 1187 2 8
v 1188 4 9
v 1189 2 187
v 1190 2 34
v 1191 2 193
v 1192 0 10
v 1193 2 1
v 1194 2 604
v 1195 1 2
v 1196 2 18
v 1197 0 2
v 1198 2 6
v 1199 0 4
v 1200 3 69
v 1201 1 5
v 1202 3 29
v 1203 4 135
v 1204 3 10
v 1205 4 7
v 1206 0 2
v 1207 4 23
v 1208 3 94
v 1209 3 23
v 1210 2 44
v 1211 0 85
v 1212 1 17
v 1213 3 54
v 1214 0 155
v 1215 3 15
v 1216 0 16
v 1217 3 38
v 1218 0 277
v 1219 3 31
v 1220 2 18
v 1221 0 13
v 1222 2 18
v 1223 1 33
v 1224 2 26
v 1225 0 3
v 1226 4 17
v 1227 2 129
v 1228 3 22
v 1229 0 30
v 1230 1 51
v 1231 2 22
v 1232 0 59
v 1233 4 8
v 1234 4 8
v 1235 3 99
v 1236 0 21
v 1237 2 188
v 1238 0 22
v 1239 1 73
v 1240 0 202
v 1241 1 134
v 1242 1 39
v 1243 4 8
v 1244 4 1
v 1245 1 65
v 1246 0 116
v 1247 4 9
v 1248 4 7
v 1249 2 33
v 1250 0 35
v 1251 3 251
v 1252 1 25
v 1253 3 153
v 1254 3 23
v 1255 4 367
v 1256 0 1
v 1257 4 84
v 1258 4 10
v 1259 4 70
v 1260 3 77
v 1261 3 13
v 1262 0 13
v 1263 1 46
v 1264 4 17
v 1265 2 4
v 1266 4 230
v 1267 1 5
v 1268 2 155
v 1269 1 18
v 1270 2 13
v 1271 1 55
v 1272 2 18
v 1273 4 12
v 1274 0 111
v 1275 0 11
v 1276 4 5
v 1277 4 3
v 1278 4 9
v 1279 1 151
v 1280 4 30
v 1281 2 16
v 1282 2 87
v 1283 4 9
v 1284 4 18
v 1285 0 52
v 1286 1 9
v 1287 3 213
v 1288 3 3
v 1289 4 4
v 1290 4 31
v 1291 1 36
v 1292 0 29
v 1293 1 44
v 1294 3 19
v 1295 3 144
v 1296 1 489
v 1297 4 11
v 1298 4 21
v 1299 4 44
v 1300 0 17
v 1301 2 102
v 1302 0 18
v 1303 0 318
v 1304 1 20
v 1305 3 84
v 1306 1 16
v 1307 2 87
v 1308 4 48
v 1309 0 33
v 1310 3 25
v 1311 4 4
v 1312 4 15
v 1313 0 29
v 1314 4 68
v 1315 4 134
v 1316 1 32
v 1317 1 25
v 1318 1 80
v 1319 3 35
v 1320 1 2
v 1321 2 177
v 1322 3 38
v 1323 3 205
v 1324 1 130
v 1325 1 73
v 1326 2 49
v 1327 3 21
v 1328 2 90
v 1329 1 106
v 1330 2 5
v 1331 0 170
v 1332 3 3
v 1333 3 28
v 1334 3 9
v 1335 2 3
v 1336 1 20
v 1337 3 31
v 1338 2 12
v 1339 2 12
v 1340 1 95
v 1341 1 204
v 1342 1 44
v 1343 1 372
v 1344 0 5
v 1345 1 10
v 1346 1 6
v 1347 0 28
v 1348 0 17
v 1349 1 20
v 1350 0 53
v 1351 2 35
v 1352 0 51
v 1353 1 83
v 1354 4 71
v 1355 3 49
v 1356 3 39
v 1357 4 21
v 1358 1 265
v 1359 1 8
v 1360 4 13
v 1361 1 16
v 1362 4 115
v 1363 0 6
v 1364 3 21
v 1365 3 4
v 1366 4 729
v 1367 4 45
v 1368 1 60
v 1369 1 8
v 1370 2 2
v 1371 3 5
v 1372 0 1
v 1373 0 102
v 1374 1 13
v 1375 1 52
v 1376 2 66
v 1377 0 119
v 1378 2 63
v 1379 0 78
v 1380 1 6
v 1381 3 7
v 1382 1 11
v 1383 2 25
v 1384 1 5
v 1385 3 17
v 1386 0 17
v 1387 3 33
v 1388 2 17
v 1389 4 27
v 1390 2 124
v 1391 2 9
v 1392 3 44
v 1393 4 4
v 1394 2 14
v 1395 3 132
v 1396 1 7
v 1397 2 71
v 1398 1 12
v 1399 3 6
v 1400 1 8
v 1401 1 16
v 1402 2 22
v 1403 0 518
v 1404 3 15
v 1405 4 9
v 1406 4 29
v 1407 1 8
v 1408 2 313
v 1409 3 3
v 1410 4 32
v 1411 4 81
v 1412 0 8
v 1413 2 2
v 1414 4 18
v 1415 4 25
v 1416 3 13
v 1417 2 47
v 1418 3 5
v 1419 4 34
v 1420 1 2
v 1421 2 100
v 1422 2 100
v 1423 3 27
v 1424 3 17
v 1425 3 6
v 1426 0 84
v 1427 2 57
v 1428 0 5
v 1429 3 3
v 1430 1 50
v 1431 4 71
v 1432 3 6
v 1433 3 24
v 1434 3 20
v 1435 3 45
v 1436 3 3
v 1437 1 63
v 1438 1 22
v 1439 1 86
v 1440 4 12
v 1441 1 20
v 1442 2 56
v 1443 2 10
v 1444 3 52
v 1445 3 40
v 1446 2 12
v 1447 3 144
v 1448 3 86
v 1449 4 112
v 1450 3 102
v 1451 2 50
v 1452 1 10
v 1453 1 4
v 1454 4 81
v 1455 1 6
v 1456 1 4
v 1457 3 2
v 1458 0 2
v 1459 3 26
v 1460 2 1
v 1461 3 18
v 1462 2 10
v 1463 0 24
v 1464 2 5
v 1465 0 119
v 1466 4 7
v 1467 3 7
v 1468 4 32
v 1469 2 2
v 1470 1 8
v 1471 3 32
v 1472 3 11
v 1473 4 44
v 1474 1 63
v 1475 2 40
v 1476 0 7
v 1477 2 5
v 1478 2 13
v 1479 4 18
v 1480 1 15
v 1481 4 25
v 1482 4 72
v 1483 2 44
v 1484 1 53
v 1485 1 148
v 1486 1 70
v 1487 2 49
v 1488 2 431
v 1489 3 13
v 1490 2 6
v 1491 1 30
v 1492 4 88
v 1493 2 15
v 1494 2 46
v 1495 1 2
v 1496 1 14
v 1497 0 74
v 1498 3 10
v 1499 4 20
v 1500 1 38
v 1501 0 3
v 1502 4 1
v 1503 4 3
v 1504 1 7
v 1505 3 1
v 1506 0 170
v 1507 0 7
v 1508 2 26
v 1509 4 6
v 1510 2 8
v 1511 4 223
v 1512 4 43
v 1513 1 4
v 1514 3 77
v 1515 2 4
v 1516 2 7
v 1517 3 12
v 1518 3 28
v 1519 0 119
v 1520 2 2
v 1521 3 207
v 1522 2 3
v 1523 3 5
v 1524 1 35
v 1525 0 11
v 1526 4 2
v 1527 1 14
v 1528 4 118
v 1529 3 9
v 1530 2 201
v 1531 2 39
v 1532 4 94
v 1533 0 7
v 1534 4 74
v 1535 1 28
v 1536 0 2
v 1537 4 11
v 1538 1 17
v 1539 4 3
v 1540 2 4
v 1541 2 5
v 1542 4 99
v 1543 3 1
v 1544 4 3
v 1545 4 59
v 1546 0 5
v 1547 4 22
v 1548 0 2
v 1549 3 10
v 1550 2 16
v 1551 1 41
v 1552 2 12
v 1553 3 133
v 1554 4 15
v 1555 0 9
v 1556 1 5
v 1557 1 77
v 1558 4 139
v 1559 3 56
v 1560 0 9
v 1561 1 54
v 1562 1 6
v 1563 0 3
v 1564 2 49
v 1565 4 2
v 1566 2 3
v 1567 0 103
v 1568 1 24
v 1569 0 1
v 1570 2 111
v 1571 0 15
v 1572 0 3
v 1573 4 22
v 1574 3 80
v 1575 0 30
v 1576 1 117
v 1577 2 17
v 1578 3 12
v 1579 2 26
v 1580 2 11
v 1581 2 19
v 1582 0 12
v 1583 3 2
v 1584 3 42
v 1585 0 37
v 1586 4 9
v 1587 1 103
v 1588 0 40
v 1589 3 35
v 1590 1 203
v 1591 0 4
v 1592 0 61
v 1593 3 10
v 1594 1 2
v 1595 4 34
v 1596 4 17
v 1597 0 9
v 1598 1 11
v 1599 1 18
v 1600 2 157
v 1601 3 20
v 1602 0 168
v 1603 3 102
v 1604 2 61
v 1605 2 11
v 1606 4 83
v 1607 0 3
v 1608 2 44
v 1609 1 6
v 1610 3 288
v 1611 0 23
v 1612 4 12
v 1613 2 27
v 1614 3 23
v 1615 4 27
v 1616 4 211
v 1617 3 37
v 1618 2 49
v 1619 4 18
v 1620 1 23
v 1621 4 12
v 1622 2 89
v 1623 4 31
v 1624 2 20
v 1625 1 36
v 1626 0 6
v 1627 1 31
v 1628 2 13
v 1629 3 69
v 1630 0 6
v 1631 1 135
v 1632 1 8
v 1633 2 9
v 1634 4 3
v 1635 3 6
v 1636 4 2
v 1637 4 5
v 1638 0 101
v 1639 4 5
v 1640 3 6
v 1641 3 31
v 1642 1 2
v 1643 2 17
v 1644 4 14
v 1645 2 42
v 1646 0 1
v 1647 0 34
v 1648 2 16
v 1649 3 14
v 1650 2 225
v 1651 3 75
v 1652 4 23
v 1653 4 157
v 1654 0 34
v 1655 1 38
v 1656 2 17
v 1657 4 1
v 1658 0 30
v 1659 2 1
v 1660 0 324
v 1661 2 8
