t 36692 183831
v 324 4 3
v 325 1 40
v 326 3 13
v 327 0 275
v 328 1 282
v 329 4 4
v 330 0 23
v 331 4 16
v 332 0 143
v 333 0 1
v 334 1 50
v 335 2 30
v 336 0 149
v 337 2 181
v 338 1 132
v 339 2 134
v 340 4 815
v 341 4 101
v 342 3 47
v 343 1 29
v 344 0 109
v 345 2 42
v 346 1 4
v 347 4 2
v 348 0 13
v 349 2 3
v 350 1 49
v 351 0 4
v 352 4 421
v 353 0 13
v 354 4 3
v 355 2 147
v 356 1 41
v 357 1 137
v 358 1 13
v 359 0 19
v 360 1 36
v 361 1 140
v 362 1 1
v 363 2 84
v 364 0 142
v 365 4 76
v 366 0 4
v 367 1 386
v 368 2 1
v 369 1 113
v 370 3 310
v 371 4 14
v 372 3 6
v 373 4 18
v 374 4 22
v 375 1 6
v 376 3 6
v 377 2 455
v 378 3 50
v 379 0 11
v 380 1 7
v 381 1 304
v 382 4 60
v 383 0 18
v 384 0 25
v 385 2 158
v 386 2 93
v 387 3 908
v 388 0 1
v 389 3 181
v 390 3 1
v 391 1 3
v 392 0 3
v 393 4 25
v 394 2 3
v 395 4 17
v 396 3 5
v 397 4 72
v 398 2 50
v 399 2 21
v 400 4 17
v 401 3 66
v 402 3 84
v 403 3 51
v 404 0 39
v 405 0 9
v 406 4 74
v 407 2 197
v 408 4 405
v 409 4 7
v 410 2 110
v 411 2 364
v 412 4 106
v 413 2 37
v 414 2 21
v 415 2 3
v 416 4 180
v 417 4 405
v 418 4 16
v 419 2 47
v 420 0 26
v 421 2 275
v 422 0 17
v 423 3 77
v 424 3 190
v 425 0 104
v 426 0 19
v 427 1 16
v 428 2 16
v 429 0 6
v 430 1 22
v 431 4 39
v 432 4 18
v 433 2 201
v 434 1 28
v 435 3 6
v 436 3 91
v 437 0 11
v 438 1 161
v 439 0 9
v 440 0 51
v 441 4 10
v 442 2 5
v 443 3 1244
v 444 3 1
v 445 0 449
v 446 1 4
v 447 2 232
v 448 2 220
v 449 2 29
v 450 1 17
v 451 4 121
v 452 0 16
v 453 1 55
v 454 2 26
v 455 4 36
v 456 1 16
v 457 1 227
v 458 4 14
v 459 4 6
v 460 3 5
v 461 4 156
v 462 2 829
v 463 0 6
v 464 4 3
v 465 0 9
v 466 3 269
v 467 4 90
v 468 3 20
v 469 4 3
v 470 0 15
v 471 4 25
v 472 1 9
v 473 2 22
v 474 2 12
v 475 2 44
v 476 3 397
v 477 3 98
v 478 3 2
v 479 2 2
v 480 1 72
v 481 0 2
v 482 1 3
v 483 3 37
v 484 0 7
v 485 4 124
v 486 3 3
v 487 0 198
v 488 2 25
v 489 3 4
v 490 2 34
v 491 1 9
v 492 0 127
v 493 0 75
v 494 0 99
v 495 3 5
v 496 4 12
v 497 0 2
v 498 0 81
v 499 2 18
v 500 2 98
v 501 4 104
v 502 2 18
v 503 3 537
v 504 1 3
v 505 2 3
v 506 4 3
v 507 3 7
v 508 1 16
v 509 2 38
v 510 0 90
v 511 2 94
v 512 2 19
v 513 3 7
v 514 2 1
v 515 4 497
v 516 3 3
v 517 2 3
v 518 4 3
v 519 2 20
v 520 4 514
v 521 0 28
v 522 2 25
v 523 4 6
v 524 3 1
v 525 0 29
v 526 1 20
v 527 0 162
v 528 1 227
v 529 3 21
v 530 4 305
v 531 4 73
v 532 1 6
v 533 4 6
v 534 1 230
v 535 4 63
v 536 2 127
v 537 1 25
v 538 1 102
v 539 3 1
v 540 2 711
v 541 0 16
v 542 0 90
v 543 0 7
v 544 4 181
v 545 4 39
v 546 1 361
v 547 0 59
v 548 1 34
v 549 0 11
v 550 2 8
v 551 4 292
v 552 3 31
v 553 1 183
v 554 4 5
v 555 1 37
v 556 3 5
v 557 2 168
v 558 3 62
v 559 3 2
v 560 2 48
v 561 3 53
v 562 3 54
v 563 1 228
v 564 2 92
v 565 4 12
v 566 1 26
v 567 4 206
v 568 1 37
v 569 3 12
v 570 4 107
v 571 0 22
v 572 2 34
v 573 3 37
v 574 4 98
v 575 4 178
v 576 2 6
v 577 4 32
v 578 0 30
v 579 0 69
v 580 0 39
v 581 1 308
v 582 0 8
v 583 0 55
v 584 1 70
v 585 3 2
v 586 1 133
v 587 4 61
v 588 1 9
v 589 1 9
v 590 1 20
v 591 1 17
v 592 4 10
v 593 4 31
v 594 4 66
v 595 0 1
v 596 0 31
v 597 0 13
v 598 1 172
v 599 1 1
v 600 4 93
v 601 4 178
v 602 3 1143
v 603 4 56
v 604 4 7
v 605 3 214
v 606 4 1
v 607 0 1
v 608 2 19
v 609 3 121
v 610 3 21
v 611 0 96
v 612 4 15
v 613 0 30
v 614 1 138
v 615 3 22
v 616 1 178
v 617 1 3
v 618 1 309
v 619 2 3
v 620 3 234
v 621 2 2
v 622 4 16
v 623 3 27
v 624 1 117
v 625 3 109
v 626 2 87
v 627 3 6
v 628 3 163
v 629 3 137
v 630 2 15
v 631 4 24
v 632 3 114
v 633 4 2
v 634 2 66
v 635 2 3
v 636 3 422
v 637 3 82
v 638 2 52
v 639 0 7
v 640 4 7
v 641 4 21
v 642 0 151
v 643 2 2
v 644 2 332
v 645 4 73
v 646 0 264
v 647 4 8
v 648 2 89
v 649 0 103
v 650 2 310
v 651 0 9
v 652 0 25
v 653 3 172
v 654 4 8
v 655 3 5
v 656 4 5
v 657 1 26
v 658 2 184
v 659 1 6
v 660 0 71
v 661 2 25
v 662 0 38
v 663 1 2
v 664 2 263
v 665 4 5
v 666 0 62
v 667 1 17
v 668 3 686
v 669 2 13
v 670 2 4
v 671 2 6
v 672 4 56
v 673 3 10
v 674 3 20
v 675 2 36
v 676 2 90
v 677 4 61
v 678 3 43
v 679 3 74
v 680 1 143
v 681 3 1
v 682 3 330
v 683 2 14
v 684 3 25
v 685 4 44
v 686 2 45
v 687 2 9
v 688 1 343
v 689 3 59
v 690 0 219
v 691 4 4
v 692 2 4
v 693 2 70
v 694 3 49
v 695 4 147
v 696 4 25
v 697 1 33
v 698 1 106
v 699 4 207
v 700 0 18
v 701 1 8
v 702 3 74
v 703 2 3
v 704 0 42
v 705 2 228
v 706 0 23
v 707 1 74
v 708 0 6
v 709 1 3
v 710 3 6
v 711 0 13
v 712 4 107
v 713 2 4
v 714 0 83
v 715 2 13
v 716 3 18
v 717 0 57
v 718 0 34
v 719 1 21
v 720 4 5
v 721 1 2
v 722 3 2
v 723 4 3
v 724 0 4
v 725 0 55
v 726 1 203
v 727 1 1
v 728 0 1
v 729 0 28
v 730 0 11
v 731 2 14
v 732 4 168
v 733 4 10
v 734 3 3
v 735 2 23
v 736 2 5
v 737 0 100
v 738 2 37
v 739 4 16
v 740 4 3
v 741 0 6
v 742 1 1
v 743 0 481
v 744 4 18
v 745 1 10
v 746 3 57
v 747 3 246
v 748 4 14
v 749 3 7
v 750 4 217
v 751 4 9
v 752 4 178
v 753 2 51
v 754 4 13
v 755 4 223
v 756 3 2
v 757 0 99
v 758 4 1
v 759 2 2
v 760 1 26
v 761 1 113
v 762 2 5
v 763 0 2
v 764 4 2
v 765 1 159
v 766 0 2
v 767 4 49
v 768 3 344
v 769 2 1
v 770 3 14
v 771 1 6
v 772 4 88
v 773 2 35
v 774 4 37
v 775 1 17
v 776 3 4
v 777 3 6
v 778 2 6
v 779 3 243
v 780 1 64
v 781 0 5
v 782 0 280
v 783 0 2
v 784 4 190
v 785 4 7
v 786 4 1
v 787 3 166
v 788 1 41
v 789 2 46
v 790 1 14
v 791 2 13
v 792 1 32
v 793 3 9
v 794 2 1
v 795 1 174
v 796 4 18
v 797 2 43
v 798 2 5
v 799 4 83
v 800 0 4
v 801 3 144
v 802 3 52
v 803 1 54
v 804 3 128
v 805 3 51
v 806 3 244
v 807 2 36
v 808 3 121
v 809 2 17
v 810 0 73
v 811 3 4
v 812 1 123
v 813 4 48
v 814 0 12
v 815 2 30
v 816 1 43
v 817 2 6
v 818 1 17
v 819 0 8
v 820 4 19
v 821 1 16
v 822 1 3
v 823 1 3
v 824 0 5
v 825 2 3
v 826 1 62
v 827 0 4
v 828 0 239
v 829 4 86
v 830 3 486
v 831 4 3
v 832 3 10
v 833 1 6
v 834 1 33
v 835 0 9
v 836 3 7
v 837 1 3
v 838 4 32
v 839 4 14
v 840 0 1
v 841 3 15
v 842 1 24
v 843 0 84
v 844 4 10
v 845 1 4
v 846 4 4
v 847 1 76
v 848 2 8
v 849 4 11
v 850 4 15
v 851 3 12
v 852 1 3
v 853 3 3
v 854 2 112
v 855 2 377
v 856 3 3
v 857 0 136
v 858 2 50
v 859 1 28
v 860 3 114
v 861 2 105
v 862 0 24
v 863 3 1
v 864 1 63
v 865 1 28
v 866 4 21
v 867 3 9
v 868 1 5
v 869 1 300
v 870 2 65
v 871 0 68
v 872 4 60
v 873 0 49
v 874 2 11
v 875 0 4
v 876 4 2
v 877 2 2
v 878 2 1026
v 879 4 13
v 880 4 5
v 881 4 66
v 882 1 93
v 883 0 23
v 884 2 9
v 885 4 18
v 886 0 62
v 887 0 3
v 888 3 29
v 889 0 135
v 890 4 8
v 891 2 82
v 892 2 4
v 893 0 6
v 894 3 4
v 895 4 1
v 896 1 538
v 897 0 15
v 898 0 9
v 899 3 417
v 900 3 15
v 901 1 112
v 902 3 24
v 903 0 3
v 904 4 191
v 905 0 37
v 906 0 15
v 907 4 7
v 908 3 9
v 909 1 15
v 910 4 339
v 911 3 94
v 912 0 181
v 913 3 1
v 914 0 205
v 915 2 44
v 916 4 29
v 917 3 365
v 918 2 7
v 919 2 8
v 920 2 3
v 921 3 130
v 922 0 2
v 923 2 3
v 924 2 187
v 925 4 24
v 926 4 11
v 927 0 6
v 928 4 142
v 929 4 155
v 930 2 496
v 931 0 2
v 932 0 2
v 933 2 139
v 934 2 81
v 935 2 4
v 936 3 3
v 937 3 3
v 938 0 18
v 939 2 2
v 940 3 23
v 941 2 4
v 942 2 81
v 943 4 3
v 944 2 54
v 945 2 80
v 946 4 10
v 947 0 138
v 948 3 65
v 949 2 174
v 950 4 17
v 951 0 41
v 952 2 207
v 953 2 3
v 954 4 92
v 955 0 1
v 956 0 69
v 957 1 181
v 958 0 31
v 959 4 29
v 960 4 423
v 961 3 24
v 962 3 14
v 963 0 99
v 964 0 15
v 965 0 2
v 966 3 257
v 967 0 32
v 968 1 4
v 969 2 20
v 970 3 116
v 971 3 74
v 972 4 155
v 973 1 36
v 974 3 7
v 975 1 12
v 976 0 9
v 977 3 4
v 978 2 1
v 979 2 61
v 980 3 120
v 981 1 21
v 982 2 168
v 983 1 110
v 984 2 113
v 985 1 92
v 986 0 8
v 987 1 16
v 988 1 4
v 989 4 87
v 990 4 167
v 991 2 80
v 992 3 38
v 993 1 108
v 994 0 24
v 995 2 258
v 996 3 110
v 997 4 41
v 998 4 13
v 999 4 5
v 1000 2 3
v 1001 4 71
v 1002 2 3
v 1003 3 21
v 1004 2 22
v 1005 3 4
v 1006 0 14
v 1007 0 17
v 1008 0 41
v 1009 1 7
v 1010 2 7
v 1011 2 53
v 1012 3 4
v 1013 1 87
v 1014 3 15
v 1015 0 36
v 1016 4 63
v 1017 1 13
v 1018 2 141
v 1019 1 63
v 1020 0 4
v 1021 1 13
v 1022 2 7
v 1023 0 308
v 1024 4 10
v 1025 2 6
v 1026 3 54
v 1027 3 21
v 1028 0 28
v 1029 2 6
v 1030 0 10
v 1031 2 23
v 1032 3 54
v 1033 2 4
v 1034 2 4
v 1035 3 4
v 1036 1 1
v 1037 3 13
v 1038 4 13
v 1039 1 150
v 1040 4 63
v 1041 4 40
v 1042 4 521
v 1043 2 56
v 1044 3 121
v 1045 3 61
v 1046 2 24
v 1047 4 39
v 1048 4 47
v 1049 1 22
v 1050 3 55
v 1051 4 6
v 1052 3 3
v 1053 3 134
v 1054 4 20
v 1055 0 8
v 1056 0 74
v 1057 3 15
v 1058 3 244
v 1059 3 1
v 1060 0 90
v 1061 1 24
v 1062 1 37
v 1063 2 217
v 1064 1 2
v 1065 3 50
v 1066 1 8
v 1067 0 95
v 1068 4 88
v 1069 2 18
v 1070 2 295
v 1071 2 50
v 1072 3 10
v 1073 3 14
v 1074 0 119
v 1075 4 50
v 1076 0 1
v 1077 3 23
v 1078 2 21
v 1079 2 13
v 1080 2 44
v 1081 4 24
v 1082 0 61
v 1083 4 47
v 1084 3 64
v 1085 1 12
v 1086 1 4
v 1087 1 41
v 1088 3 32
v 1089 3 29
v 1090 2 42
v 1091 1 44
v 1092 0 3
v 1093 1 25
v 1094 3 59
v 1095 0 10
v 1096 1 3
v 1097 4 180
v 1098 1 6
v 1099 3 4
v 1100 2 4
v 1101 2 247
v 1102 4 137
v 1103 2 505
v 1104 4 39
v 1105 3 11
v 1106 0 3
v 1107 3 285
v 1108 1 1
v 1109 3 1
v 1110 1 386
v 1111 1 16
v 1112 3 270
v 1113 0 73
v 1114 0 108
v 1115 3 18
v 1116 4 7
v 1117 4 6
v 1118 1 283
v 1119 0 6
v 1120 4 33
v 1121 1 86
v 1122 0 7
v 1123 2 7
v 1124 0 2
v 1125 4 1
v 1126 3 45
v 1127 0 105
v 1128 2 339
v 1129 3 97
v 1130 2 4
v 1131 0 4
v 1132 4 3
v 1133 1 125
v 1134 0 43
v 1135 0 8
v 1136 0 5
v 1137 1 7
v 1138 2 9
v 1139 1 25
v 1140 2 207
v 1141 1 31
v 1142 1 44
v 1143 0 94
v 1144 0 34
v 1145 3 44
v 1146 3 11
v 1147 1 30
v 1148 2 11
v 1149 0 219
v 1150 4 53
v 1151 0 11
v 1152 0 463
v 1153 0 172
v 1154 1 18
v 1155 1 143
v 1156 2 1
v 1157 3 3
v 1158 2 59
v 1159 0 34
v 1160 1 7
v 1161 4 8
v 1162 2 29
v 1163 0 30
v 1164 2 102
v 1165 0 4
v 1166 3 24
v 1167 4 15
v 1168 1 45
v 1169 0 14
v 1170 4 92
v 1171 2 71
v 1172 4 97
v 1173 1 73
v 1174 0 4
v 1175 4 4
v 1176 1 170
v 1177 4 60
v 1178 0 6
v 1179 3 12
v 1180 2 15
v 1181 0 15
v 1182 1 2
v 1183 3 7
v 1184 0 7
v 1185 2 8
v 1186 0 6
v 1187 3 168
v 1188 3 15
v 1189 2 6
v 1190 3 7
v 1191 4 169
v 1192 0 8
v 1193 4 149
v 1194 4 29
v 1195 0 3
v 1196 1 28
v 1197 1 1
v 1198 3 119
v 1199 3 55
v 1200 1 109
v 1201 1 13
v 1202 0 4
v 1203 1 8
v 1204 4 12
v 1205 2 6
v 1206 2 16
v 1207 2 8
v 1208 1 4
v 1209 1 18
v 1210 2 6
v 1211 2 20
v 1212 1 263
v 1213 3 12
v 1214 4 141
v 1215 3 174
v 1216 1 47
v 1217 3 5
v 1218 2 7
v 1219 3 4
v 1220 1 4
v 1221 0 3
v 1222 2 16
v 1223 2 9
v 1224 4 32
v 1225 2 16
v 1226 4 9
v 1227 2 35
v 1228 4 2
v 1229 0 5
v 1230 3 4
v 1231 2 29
v 1232 4 5
v 1233 3 41
v 1234 1 4
v 1235 2 3
v 1236 3 3
v 1237 3 18
v 1238 4 37
v 1239 1 47
v 1240 3 118
v 1241 2 4
v 1242 1 3
v 1243 4 8
v 1244 4 9
v 1245 2 12
v 1246 2 43
v 1247 2 115
v 1248 4 25
v 1249 0 145
v 1250 3 23
v 1251 3 61
v 1252 0 80
v 1253 3 46
v 1254 3 17
v 1255 2 42
v 1256 0 6
v 1257 0 121
v 1258 1 14
v 1259 0 6
v 1260 1 110
v 1261 0 11
v 1262 1 8
v 1263 4 1
v 1264 4 4
v 1265 3 4
v 1266 4 156
v 1267 1 29
v 1268 1 14
v 1269 2 6
v 1270 2 6
v 1271 0 307
v 1272 0 34
v 1273 2 14
v 1274 3 6
v 1275 2 21
v 1276 0 2
v 1277 0 36
v 1278 0 10
v 1279 4 212
v 1280 3 14
v 1281 0 15
v 1282 2 135
v 1283 1 14
v 1284 4 29
v 1285 3 2
v 1286 1 41
v 1287 4 51
v 1288 1 99
v 1289 3 4
v 1290 2 17
v 1291 1 7
v 1292 0 4
v 1293 1 221
v 1294 2 8
v 1295 3 43
v 1296 1 34
v 1297 3 249
v 1298 3 41
v 1299 1 18
v 1300 1 1
v 1301 2 1
v 1302 3 3
v 1303 0 3
v 1304 2 105
v 1305 1 60
v 1306 1 1
v 1307 3 306
v 1308 0 126
v 1309 3 53
v 1310 4 130
v 1311 2 8
v 1312 0 1
v 1313 3 3
v 1314 1 3
v 1315 1 243
v 1316 4 31
v 1317 2 23
v 1318 1 21
v 1319 4 3
v 1320 3 95
v 1321 4 6
v 1322 3 46
v 1323 1 2
v 1324 1 3
v 1325 4 2
v 1326 2 1
v 1327 4 50
v 1328 3 24
v 1329 2 12
v 1330 0 5
v 1331 1 37
v 1332 4 122
v 1333 4 6
v 1334 3 16
v 1335 1 14
v 1336 2 5
v 1337 3 35
v 1338 0 3
v 1339 1 234
v 1340 0 6
v 1341 2 68
v 1342 1 9
v 1343 4 69
v 1344 4 24
v 1345 0 13
v 1346 1 7
v 1347 2 540
v 1348 0 4
v 1349 3 37
v 1350 2 19
v 1351 4 41
v 1352 4 51
v 1353 3 87
v 1354 4 34
v 1355 1 6
v 1356 3 6
v 1357 4 7
v 1358 2 1
v 1359 0 78
v 1360 4 1
v 1361 0 60
v 1362 1 20
v 1363 1 109
v 1364 4 3
v 1365 0 46
v 1366 1 2
v 1367 4 67
v 1368 1 66
v 1369 4 11
v 1370 0 77
v 1371 2 22
v 1372 0 52
v 1373 4 17
v 1374 1 7
v 1375 4 130
v 1376 4 23
v 1377 4 106
v 1378 0 243
v 1379 4 16
v 1380 4 3
v 1381 4 43
v 1382 1 62
v 1383 2 163
v 1384 0 1
v 1385 1 24
v 1386 3 6
v 1387 4 221
v 1388 3 39
v 1389 1 4
v 1390 3 4
v 1391 4 2
v 1392 2 1
v 1393 4 62
v 1394 1 58
v 1395 3 27
v 1396 1 105
v 1397 0 278
v 1398 2 14
v 1399 2 106
v 1400 1 25
v 1401 0 1
v 1402 2 1
v 1403 3 8
v 1404 1 6
v 1405 0 3
v 1406 3 16
v 1407 3 89
v 1408 1 44
v 1409 2 20
v 1410 3 26
v 1411 3 18
v 1412 2 63
v 1413 1 91
v 1414 2 13
v 1415 4 80
v 1416 1 38
v 1417 2 7
v 1418 2 12
v 1419 3 5
v 1420 2 5
v 1421 0 4
v 1422 1 3
v 1423 3 3
v 1424 1 3
v 1425 3 162
v 1426 3 63
v 1427 3 5
v 1428 1 29
v 1429 3 39
v 1430 1 34
v 1431 1 4
v 1432 1 1
v 1433 1 26
v 1434 2 377
v 1435 4 6
v 1436 2 26
v 1437 3 8
v 1438 4 170
v 1439 4 6
v 1440 0 5
v 1441 4 10
v 1442 2 6
v 1443 3 138
v 1444 4 3
v 1445 0 110
v 1446 1 3
v 1447 0 5
v 1448 2 9
v 1449 1 3
v 1450 3 112
v 1451 1 8
v 1452 0 30
v 1453 0 4
v 1454 1 9
v 1455 0 28
v 1456 0 2
v 1457 3 2
v 1458 1 10
v 1459 0 9
v 1460 4 55
v 1461 3 185
v 1462 3 5
v 1463 4 1
v 1464 1 36
v 1465 3 1
v 1466 0 18
v 1467 2 12
v 1468 0 24
v 1469 0 3
v 1470 4 47
v 1471 3 47
v 1472 3 119
v 1473 3 235
v 1474 3 13
v 1475 4 57
v 1476 0 3
v 1477 3 1
v 1478 0 57
v 1479 4 4
v 1480 0 135
v 1481 0 44
v 1482 0 24
v 1483 2 3
v 1484 1 1
v 1485 0 19
v 1486 3 4
v 1487 3 2
v 1488 4 38
v 1489 3 46
v 1490 0 23
v 1491 4 366
v 1492 2 8
v 1493 4 11
v 1494 1 5
v 1495 3 51
v 1496 4 34
v 1497 2 9
v 1498 3 11
v 1499 2 1
v 1500 0 44
v 1501 0 13
v 1502 0 7
v 1503 0 212
v 1504 1 3
v 1505 1 23
v 1506 3 10
v 1507 1 102
v 1508 1 8
v 1509 4 3
v 1510 1 169
v 1511 3 4
v 1512 1 100
v 1513 0 11
v 1514 3 8
v 1515 4 4
v 1516 4 119
v 1517 2 4
v 1518 1 73
v 1519 0 12
v 1520 1 6
v 1521 3 5
v 1522 3 47
v 1523 0 6
v 1524 3 3
v 1525 2 59
v 1526 2 10
v 1527 0 6
v 1528 2 19
v 1529 0 75
v 1530 4 15
v 1531 3 112
v 1532 1 134
v 1533 4 30
v 1534 2 48
v 1535 1 9
v 1536 1 5
v 1537 2 52
v 1538 2 104
v 1539 2 5
v 1540 2 9
v 1541 0 79
v 1542 3 23
v 1543 2 322
v 1544 1 23
v 1545 4 8
v 1546 3 62
v 1547 4 75
v 1548 0 114
v 1549 2 28
v 1550 0 7
v 1551 4 7
v 1552 3 2
v 1553 1 149
v 1554 4 77
v 1555 1 48
v 1556 2 4
v 1557 1 20
v 1558 2 96
v 1559 1 6
v 1560 1 19
v 1561 4 8
v 1562 0 84
v 1563 1 37
v 1564 2 17
v 1565 2 15
v 1566 3 29
v 1567 2 20
v 1568 3 3
v 1569 2 5
v 1570 4 5
v 1571 4 10
v 1572 1 15
v 1573 1 22
v 1574 3 8
v 1575 1 26
v 1576 1 42
v 1577 1 8
v 1578 3 5
v 1579 0 11
v 1580 4 6
v 1581 1 53
v 1582 2 177
v 1583 0 72
v 1584 0 54
v 1585 1 43
v 1586 3 104
v 1587 0 37
v 1588 4 30
v 1589 0 164
v 1590 1 119
v 1591 2 6
v 1592 2 6
v 1593 4 6
v 1594 0 53
v 1595 2 32
v 1596 4 7
v 1597 2 6
v 1598 1 15
v 1599 1 5
v 1600 1 28
v 1601 4 55
v 1602 1 39
v 1603 3 175
v 1604 0 136
v 1605 4 38
v 1606 2 43
v 1607 4 4
v 1608 4 1
v 1609 4 160
v 1610 0 2
v 1611 1 39
v 1612 3 13
v 1613 2 35
v 1614 1 9
v 1615 2 3
v 1616 1 120
v 1617 1 64
v 1618 2 147
v 1619 3 14
v 1620 4 60
v 1621 3 32
v 1622 2 10
v 1623 4 5
v 1624 2 1
v 1625 3 81
v 1626 0 54
v 1627 2 2
v 1628 2 4
v 1629 3 2
v 1630 2 105
v 1631 1 114
v 1632 3 27
v 1633 2 3
v 1634 2 37
v 1635 1 5
v 1636 3 3
v 1637 4 114
v 1638 0 18
v 1639 1 310
v 1640 1 8
v 1641 0 6
v 1642 4 9
v 1643 0 17
v 1644 0 6
v 1645 4 47
v 1646 2 3
v 1647 1 56
v 1648 2 54
v 1649 3 151
v 1650 0 1
v 1651 1 9
v 1652 0 26
v 1653 3 11
v 1654 0 29
v 1655 0 3
v 1656 4 9
v 1657 4 6
v 1658 1 10
v 1659 4 5
v 1660 2 38
v 1661 3 7
v 1662 0 121
